,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
330,21013,2021-01-30,21,27,28,30,34,08,11,30,34,27,28,21,"975,405,452",4,"10,000,000",59,"281,489","293,461,597",140,28.00,20,2,3,-1,1,2,5,0,5,5,4,1,1,13,6,0,0,2
331,21012,2021-01-27,06,12,20,23,33,01,09,23,06,12,20,33,"942,151,519",1,"10,000,000",93,"124,142","267,411,208",94,18.80,14,2,3,-1,1,2,3,2,1,4,6,0,0,27,10,1,1,2
332,21011,2021-01-25,06,09,11,14,21,01,03,21,06,11,14,09,"903,373,114",2,"10,000,000",299,"35,220","264,730,145",61,12.20,21,3,2,1,1,0,1,4,-3,4,4,0,0,15,7,0,0,2
333,21010,2021-01-23,01,05,16,22,34,08,11,01,34,22,05,16,"886,344,174",4,"10,000,000",98,"153,518","292,800,978",78,15.60,18,2,3,-1,1,2,2,3,-1,5,6,0,0,33,12,1,1,0
334,21009,2021-01-20,01,03,20,29,32,05,12,20,29,32,01,03,"865,327,653",1,"10,000,000",103,"112,661","270,385,175",85,17.00,15,3,2,1,1,0,3,2,1,5,6,0,0,31,17,1,1,2
335,21008,2021-01-18,05,19,20,27,33,03,08,33,27,20,05,19,"821,084,249",10,"8,342,623",73,"172,279","267,627,406",104,20.80,24,4,1,3,2,0,4,1,3,5,5,1,1,28,14,1,1,1
336,21007,2021-01-16,05,23,30,34,35,08,10,30,34,35,23,05,"854,868,061",3,"10,000,000",160,"81,104","290,613,639",127,25.40,17,3,2,1,1,1,4,1,3,4,6,1,1,30,18,1,1,3
337,21006,2021-01-13,04,22,25,28,35,04,05,25,28,04,35,22,"830,578,066",1,"10,000,000",67,"176,510","273,199,546",114,22.80,24,2,3,-1,0,1,4,1,3,4,5,0,0,31,18,1,1,1
338,21005,2021-01-11,03,07,10,12,35,03,05,12,03,10,35,07,"782,127,364",1,"10,000,000",77,"188,779","270,292,542",67,13.40,17,3,2,1,1,1,1,4,-3,5,6,0,0,32,23,0,1,0
339,21004,2021-01-09,05,10,17,23,28,02,08,28,10,05,23,17,"742,165,174",14,"6,781,783",252,"40,037","287,870,674",83,16.60,23,3,2,1,1,0,2,3,-1,5,4,0,0,23,7,0,1,0
340,21003,2021-01-06,07,21,28,31,35,04,10,31,28,07,21,35,"811,003,040",6,"10,000,000",66,"182,605","271,582,391",122,24.40,22,4,1,3,2,0,4,1,3,4,4,0,0,28,14,1,1,1
341,21002,2021-01-04,02,16,26,31,34,09,11,02,31,16,26,34,"825,914,620",3,"10,000,000",68,"223,170","278,003,685",109,21.80,19,1,4,-3,0,2,3,2,1,4,6,0,0,32,14,1,1,1
342,21001,2021-01-02,02,06,12,19,33,08,09,02,33,19,12,06,"801,248,468",2,"10,000,000",103,"149,825","301,287,873",72,14.40,22,2,3,-1,1,2,2,3,-1,4,6,0,0,31,14,0,0,1
343,20134,2020-12-30,08,11,13,22,25,04,07,08,25,13,22,11,"763,061,055",8,"7,660,983",135,"70,426","279,450,044",79,15.80,19,3,2,1,1,0,2,3,-1,5,4,0,0,17,9,0,1,1
344,20133,2020-12-28,11,24,26,33,35,08,09,24,35,26,11,33,"802,371,363",2,"10,000,000",79,"125,950","278,817,951",129,25.80,19,3,2,1,1,1,4,1,3,5,4,0,0,24,13,0,0,0
345,20132,2020-12-26,03,15,16,17,21,07,10,17,03,16,21,15,"772,089,653",7,"8,732,884",100,"139,407","305,220,768",72,14.40,22,4,1,3,2,0,1,4,-3,5,5,2,1,18,12,0,0,0
346,20131,2020-12-23,08,25,27,29,35,02,03,35,08,25,29,27,"804,095,087",4,"7,836,812",84,"157,335","276,280,604",124,24.80,34,4,1,3,3,0,4,1,3,4,5,0,0,27,17,0,0,2
347,20130,2020-12-21,16,17,23,26,32,02,12,16,32,23,17,26,"788,606,650",7,"8,580,412",62,"191,821","275,873,752",114,22.80,24,2,3,-1,1,1,3,2,1,4,4,1,1,16,6,0,0,3
348,20129,2020-12-19,10,22,27,33,34,01,11,22,27,10,33,34,"816,759,358",2,"10,000,000",62,"265,548","299,215,239",126,25.20,16,2,3,-1,1,1,4,1,3,5,5,1,1,24,12,0,1,3
349,20128,2020-12-16,09,12,13,26,33,04,10,13,12,33,09,26,"761,816,707",3,"10,000,000",55,"249,603","274,958,597",93,18.60,23,3,2,1,0,0,2,3,-1,4,6,1,1,24,13,0,1,0
350,20127,2020-12-14,01,04,17,18,26,03,10,18,01,26,17,04,"723,320,954",5,"6,788,183",51,"246,627","276,778,645",66,13.20,26,2,3,-1,0,1,2,3,-1,5,6,1,1,25,13,2,2,0
351,20126,2020-12-12,01,04,09,22,28,04,12,04,09,01,28,22,"721,797,952",4,"8,293,025",96,"151,985","298,548,217",64,12.80,24,2,3,-1,0,1,2,3,-1,5,6,0,0,27,13,1,2,3
352,20125,2020-12-09,01,02,03,08,22,01,04,01,22,08,02,03,"699,959,034",2,"9,473,073",73,"188,841","275,346,986",36,7.20,16,2,3,-1,0,1,1,4,-3,4,5,2,1,21,14,0,0,0
353,20124,2020-12-07,11,15,24,26,35,04,05,26,24,35,15,11,"671,260,147",3,"8,940,268",42,"398,755","278,064,291",111,22.20,21,3,2,1,1,1,3,2,1,4,4,0,0,24,9,0,2,0
354,20123,2020-12-05,01,07,11,15,21,04,11,07,01,15,21,11,"641,696,961",5,"7,560,029",163,"69,634","304,863,915",55,11.00,15,5,0,5,4,0,1,4,-3,3,2,0,0,20,6,0,0,1
355,20122,2020-12-02,08,19,29,34,35,06,11,29,08,35,34,19,"629,576,539",10,"5,812,539",145,"50,433","281,651,508",125,25.00,35,3,2,1,1,0,4,1,3,4,6,1,1,27,11,1,1,3
356,20121,2020-11-30,09,17,27,28,35,03,08,09,35,27,17,28,"658,127,792",12,"5,888,553",96,"115,346","278,202,603",116,23.20,36,4,1,3,2,0,3,2,1,4,4,1,1,26,10,1,1,1
357,20120,2020-11-28,05,25,26,30,35,04,10,26,05,25,35,30,"694,960,351",6,"7,151,477",92,"157,223","301,311,242",121,24.20,21,3,2,1,1,1,4,1,3,3,5,1,1,30,20,0,0,1
358,20119,2020-11-25,14,22,24,28,32,07,08,22,28,14,24,32,"685,541,779",5,"6,488,585",63,"175,287","274,272,049",120,24.00,20,0,5,-5,0,4,4,1,3,3,3,0,0,18,8,0,0,2
359,20118,2020-11-23,01,09,15,30,33,04,09,33,30,09,01,15,"691,143,211",3,"10,000,000",59,"243,507","275,653,893",88,17.60,18,4,1,3,2,0,2,3,-1,5,6,0,0,32,15,0,0,0
360,20117,2020-11-21,07,19,20,23,24,05,10,24,07,20,23,19,"657,082,925",6,"6,533,726",125,"82,936","295,676,112",93,18.60,23,3,2,1,1,0,4,1,3,5,4,2,2,17,12,0,0,2
361,20116,2020-11-18,08,10,12,16,22,03,09,22,10,16,08,12,"661,279,588",7,"6,651,639",73,"166,572","281,698,423",68,13.60,18,0,5,-5,0,4,1,4,-3,4,3,0,0,14,6,0,0,3
362,20115,2020-11-16,01,09,18,19,23,01,09,18,09,23,01,19,"663,087,702",13,"5,858,135",161,"61,470","284,014,718",70,14.00,30,4,1,3,2,0,3,2,1,4,6,1,1,22,9,0,0,2
363,20114,2020-11-14,10,12,21,24,30,03,07,24,21,30,12,10,"699,754,234",6,"7,416,283",82,"181,463","311,221,154",97,19.40,7,1,4,-3,0,2,3,2,1,4,5,0,0,20,9,0,0,0
364,20113,2020-11-11,06,14,18,28,33,02,05,14,18,33,28,06,"686,105,119",5,"7,771,898",121,"105,724","281,010,096",99,19.80,29,1,4,-3,0,3,3,2,1,4,6,0,0,27,10,0,0,2
365,20112,2020-11-09,08,11,13,30,32,02,06,32,30,11,13,08,"670,912,594",2,"10,000,000",113,"108,341","278,836,720",94,18.80,14,2,3,-1,1,1,2,3,-1,5,4,0,0,24,17,0,0,1
366,20111,2020-11-07,05,07,09,20,28,02,07,28,09,05,07,20,"633,996,339",4,"7,667,800",110,"102,072","305,503,745",69,13.80,29,3,2,1,2,1,2,3,-1,5,5,0,0,23,11,1,2,1
367,20110,2020-11-04,11,16,20,21,28,05,11,20,28,11,16,21,"620,860,563",6,"6,966,119",83,"132,491","282,491,639",96,19.20,16,2,3,-1,0,1,3,2,1,4,5,1,1,17,7,0,2,2
368,20109,2020-11-02,02,20,21,23,32,06,12,02,21,32,23,20,"616,088,690",1,"10,000,000",66,"193,802","278,965,485",98,19.60,8,2,3,-1,1,1,4,1,3,4,6,1,1,30,18,1,1,2
369,20108,2020-10-31,02,03,06,07,33,08,09,33,06,02,03,07,"565,897,074",13,"5,881,296",80,"164,519","304,680,045",51,10.20,21,3,2,1,1,0,1,4,-3,4,4,2,2,31,26,0,0,2
370,20107,2020-10-28,01,04,13,17,28,03,07,13,17,28,04,01,"611,359,963",14,"5,409,214",193,"33,343","282,777,346",63,12.60,23,3,2,1,1,0,1,4,-3,5,6,0,0,27,11,0,0,4
371,20106,2020-10-26,02,03,11,14,27,04,10,11,14,03,27,02,"676,948,325",6,"7,175,347",261,"47,698","277,207,977",57,11.40,17,3,2,1,1,0,1,4,-3,5,6,1,1,25,13,0,1,3
372,20105,2020-10-24,03,08,12,13,22,04,12,12,13,08,03,22,"669,097,276",4,"8,474,471",91,"143,546","301,070,175",58,11.60,18,2,3,-1,0,1,1,4,-3,3,3,1,1,19,9,1,2,2
373,20104,2020-10-21,03,12,23,26,30,04,07,03,26,12,23,30,"644,732,639",35,"5,543,834",119,"93,553","276,928,873",94,18.80,14,2,3,-1,0,1,3,2,1,4,6,0,0,27,11,1,2,1
374,20103,2020-10-19,07,12,13,19,23,02,08,23,12,19,07,13,"929,277,059",7,"7,056,688",182,"36,228","273,609,545",74,14.80,24,4,1,3,2,0,2,3,-1,4,5,1,1,16,6,1,1,2
375,20102,2020-10-17,07,11,18,20,29,09,12,11,07,29,18,20,"965,450,649",2,"10,000,000",170,"67,717","290,224,663",85,17.00,25,3,2,1,1,1,3,2,1,5,4,0,0,22,9,0,0,0
376,20101,2020-10-14,03,04,05,09,34,07,09,03,09,34,04,05,"942,455,528",5,"10,000,000",109,"118,501","270,291,174",55,11.00,25,3,2,1,1,0,1,4,-3,4,5,2,1,31,25,0,2,5
377,20100,2020-10-12,04,05,08,22,33,07,10,33,22,05,08,04,"936,240,581",4,"10,000,000",69,"161,287","274,948,701",72,14.40,22,2,3,-1,0,1,2,3,-1,5,6,1,1,29,14,0,0,1
378,20099,2020-10-10,02,03,11,15,27,04,12,03,15,02,27,11,"913,910,111",7,"9,276,156",177,"73,483","301,168,262",58,11.60,18,4,1,3,3,0,1,4,-3,5,5,1,1,25,12,0,1,1
379,20098,2020-10-07,04,09,15,24,35,04,10,09,15,04,24,35,"936,316,144",7,"8,375,237",195,"49,312","264,989,928",87,17.40,27,3,2,1,1,0,2,3,-1,3,4,0,0,31,11,0,0,3
380,20097,2020-10-05,05,25,27,30,34,06,12,05,27,30,25,34,"963,061,002",8,"8,142,371",78,"118,681","225,919,953",121,24.20,21,3,2,1,2,1,4,1,3,4,6,0,0,29,20,0,1,1
381,20096,2020-09-30,07,08,10,25,28,03,11,10,25,28,08,07,"988,983,176",3,"10,000,000",68,"208,082","282,876,912",78,15.60,28,2,3,-1,0,1,2,3,-1,4,4,1,1,21,15,0,1,1
382,20095,2020-09-28,02,18,25,26,32,02,07,25,18,32,26,02,"971,831,930",5,"10,000,000",113,"91,697","265,863,829",103,20.60,23,1,4,-3,0,2,4,1,3,4,5,1,1,30,16,0,0,0
383,20094,2020-09-26,04,06,07,08,16,02,08,08,16,07,06,04,"986,269,654",1,"10,000,000",113,"107,925","290,322,382",41,8.20,31,1,4,-3,0,2,0,5,-5,4,4,2,1,12,8,0,1,1
384,20093,2020-09-23,06,14,25,27,28,04,11,06,25,28,27,14,"939,867,946",1,"10,000,000",72,"200,445","279,991,779",100,20.00,30,2,3,-1,1,1,3,2,1,5,6,1,1,22,11,0,0,0
385,20092,2020-09-21,08,11,17,31,35,07,11,17,31,08,35,11,"893,054,933",3,"10,000,000",62,"204,135","269,838,213",102,20.40,22,4,1,3,3,0,2,3,-1,4,6,0,0,27,14,0,1,2
386,20091,2020-09-19,12,16,20,23,31,05,12,20,31,12,16,23,"863,707,288",2,"10,000,000",82,"178,853","293,820,005",102,20.40,12,2,3,-1,1,2,3,2,1,5,3,0,0,19,8,0,0,0
387,20090,2020-09-16,05,06,27,28,29,11,12,29,27,05,28,06,"820,939,645",18,"6,420,892",225,"48,126","280,443,686",95,19.00,35,3,2,1,0,0,3,2,1,5,2,3,2,24,21,0,1,1
388,20089,2020-09-14,13,16,20,22,27,01,02,16,13,27,22,20,"910,070,807",2,"10,000,000",44,"336,720","274,438,340",98,19.60,18,2,3,-1,0,2,3,2,1,5,5,0,0,14,5,0,0,2
389,20088,2020-09-12,02,07,23,26,35,01,12,23,26,35,07,02,"868,351,367",3,"10,000,000",105,"136,300","297,982,352",93,18.60,23,3,2,1,1,0,3,2,1,5,6,0,0,33,16,0,1,1
390,20087,2020-09-09,01,04,20,23,29,04,08,29,04,23,20,01,"840,146,319",2,"10,000,000",55,"272,660","285,933,804",77,15.40,17,3,2,1,1,1,3,2,1,5,4,0,0,28,16,0,1,1
391,20086,2020-09-07,08,11,15,20,28,04,10,11,08,28,20,15,"801,056,870",6,"10,000,000",95,"133,505","273,366,854",82,16.40,22,2,3,-1,1,1,2,3,-1,4,6,0,0,20,8,1,3,0
392,20085,2020-09-05,03,04,11,15,28,02,03,04,03,11,15,28,"817,700,326",19,"5,878,445",392,"20,000","295,847,488",61,12.20,21,3,2,1,1,0,1,4,-3,5,6,1,1,25,13,0,0,2
393,20084,2020-09-02,02,10,20,24,31,06,12,24,10,20,02,31,"917,779,486",6,"10,000,000",70,"196,210","281,668,774",87,17.40,7,1,4,-3,0,3,3,2,1,4,6,0,0,29,10,0,1,2
394,20083,2020-08-31,01,02,17,32,34,04,09,32,02,01,17,34,"923,726,887",5,"10,000,000",56,"298,130","271,235,594",86,17.20,16,2,3,-1,0,1,2,3,-1,4,5,1,1,33,15,1,2,1
395,20082,2020-08-29,02,11,12,21,34,04,08,21,34,12,02,11,"913,232,816",7,"8,556,891",185,"63,356","291,838,192",80,16.00,10,2,3,-1,0,0,2,3,-1,3,4,1,1,32,13,0,0,3
396,20081,2020-08-26,01,13,15,32,35,08,10,32,15,01,35,13,"941,509,338",2,"10,000,000",44,"319,505","266,594,465",96,19.20,16,4,1,3,2,0,2,3,-1,4,6,0,0,34,17,0,0,0
397,20080,2020-08-24,03,06,22,24,25,09,10,25,22,24,06,03,"898,072,958",8,"7,392,120",129,"80,860","263,844,694",80,16.00,20,2,3,-1,0,2,3,2,1,5,4,1,1,22,16,0,1,2
398,20079,2020-08-22,04,16,24,29,35,02,12,29,04,35,16,24,"941,997,906",5,"10,000,000",78,"187,470","292,614,622",108,21.60,28,2,3,-1,1,2,3,2,1,4,6,0,0,31,12,0,0,2
399,20078,2020-08-19,14,18,20,28,34,10,11,14,20,18,28,34,"932,733,358",2,"10,000,000",63,"235,153","269,949,871",114,22.80,24,0,5,-5,0,4,4,1,3,3,4,0,0,20,8,0,1,2
400,20077,2020-08-17,17,23,28,29,32,01,03,17,28,29,32,23,"890,203,888",0,0,65,"213,251","270,568,843",129,25.80,29,3,2,1,1,0,4,1,3,5,5,1,1,15,6,0,1,2
401,20076,2020-08-15,01,08,18,28,30,10,12,18,08,01,30,28,"827,752,078",7,"9,172,500",184,"61,724","294,292,139",85,17.00,25,1,4,-3,0,3,3,2,1,3,5,0,0,29,10,0,0,2
402,20075,2020-08-12,02,09,10,21,35,01,07,21,10,35,02,09,"848,526,595",4,"10,000,000",59,"217,584","271,697,395",77,15.40,17,3,2,1,1,0,2,3,-1,5,6,1,1,33,14,2,3,3
403,20074,2020-08-10,03,09,10,12,21,04,11,21,09,03,12,10,"829,434,509",8,"8,240,826",166,"66,605","270,785,594",55,11.00,15,3,2,1,1,1,1,4,-3,5,5,1,1,18,9,0,2,2
404,20073,2020-08-08,04,10,12,23,27,08,09,23,04,27,12,10,"857,463,718",7,"9,742,502",129,"91,542","298,601,828",76,15.20,16,2,3,-1,1,2,2,3,-1,5,6,0,0,23,11,1,1,2
405,20072,2020-08-05,11,15,18,20,27,05,06,11,20,18,27,15,"875,748,466",22,"5,677,396",212,"28,888","270,501,710",91,18.20,21,3,2,1,1,1,3,2,1,5,4,0,0,16,7,0,0,3
406,20071,2020-08-03,01,12,16,28,33,03,12,01,12,16,28,33,"992,189,046",7,"8,759,262",75,"171,808","269,034,062",90,18.00,20,2,3,-1,0,2,2,3,-1,5,6,0,0,32,12,1,1,1
407,20070,2020-08-01,01,22,30,31,32,04,12,32,30,22,01,31,"1,021,716,141",2,"10,000,000",47,"319,597","294,678,230",116,23.20,6,2,3,-1,0,1,4,1,3,3,5,2,1,31,21,0,2,3
408,20069,2020-07-29,05,07,26,30,31,07,10,26,30,31,05,07,"984,516,774",3,"10,000,000",73,"160,051","276,270,699",99,19.80,19,3,2,1,1,1,3,2,1,5,6,1,1,26,19,0,1,0
409,20068,2020-07-27,15,20,23,26,33,02,08,15,33,26,23,20,"963,387,967",5,"10,000,000",110,"110,818","275,720,877",117,23.40,17,3,2,1,0,0,4,1,3,4,5,0,0,18,7,0,0,1
410,20067,2020-07-25,01,08,14,16,28,04,10,08,01,28,16,14,"969,682,196",1,"10,000,000",54,"285,608","298,070,364",67,13.40,27,1,4,-3,0,3,1,4,-3,4,6,0,0,27,12,0,1,0
411,20066,2020-07-22,06,14,21,34,35,03,10,34,35,14,06,21,"918,419,473",4,"10,000,000",56,"230,559","275,984,921",110,22.00,20,2,3,-1,0,1,3,2,1,4,6,1,1,29,13,0,0,2
412,20065,2020-07-20,13,15,26,32,33,05,07,26,13,33,15,32,"905,602,072",2,"10,000,000",84,"156,336","275,339,410",119,23.80,19,3,2,1,1,1,3,2,1,4,6,1,1,20,11,0,0,1
413,20064,2020-07-18,05,10,23,34,35,01,11,05,10,35,23,34,"864,409,231",3,"10,000,000",75,"195,825","306,180,017",107,21.40,17,3,2,1,0,0,3,2,1,4,6,1,1,30,13,0,0,2
414,20063,2020-07-15,11,18,20,21,33,06,07,33,20,18,11,21,"828,120,324",3,"10,000,000",48,"284,622","285,313,485",103,20.60,13,3,2,1,1,1,4,1,3,4,6,1,1,22,12,0,0,0
415,20062,2020-07-13,01,05,14,23,31,02,07,14,01,05,31,23,"811,151,382",5,"10,000,000",66,"144,275","281,547,455",74,14.80,14,4,1,3,2,0,2,3,-1,4,5,0,0,30,9,0,0,0
416,20061,2020-07-11,07,08,12,21,26,01,06,07,12,26,21,08,"823,114,481",5,"10,000,000",133,"106,145","311,505,452",74,14.80,24,2,3,-1,0,1,2,3,-1,5,4,1,1,19,9,0,1,1
417,20060,2020-07-08,12,14,25,34,35,03,12,12,25,34,35,14,"840,309,834",7,"10,000,000",109,"112,902","293,094,526",120,24.00,20,2,3,-1,0,1,3,2,1,3,6,1,1,23,11,0,0,1
418,20059,2020-07-06,01,15,22,28,32,03,11,01,28,15,22,32,"845,222,708",2,"10,000,000",72,"191,667","288,214,989",98,19.60,18,2,3,-1,1,2,3,2,1,4,6,0,0,31,14,2,2,1
419,20058,2020-07-04,01,15,19,26,27,05,10,01,27,26,15,19,"801,073,309",5,"9,421,778",137,"80,612","311,403,757",88,17.60,28,4,1,3,2,0,3,2,1,5,6,1,1,26,14,0,0,1
420,20057,2020-07-01,17,20,21,22,31,02,08,20,17,31,22,21,"819,749,459",2,"10,000,000",93,"120,838","290,961,693",111,22.20,11,3,2,1,0,0,4,1,3,4,5,2,1,14,9,0,0,0
421,20056,2020-06-29,03,11,25,29,34,03,06,25,03,11,34,29,"788,369,268",2,"10,000,000",77,"185,738","293,376,714",102,20.40,22,4,1,3,3,0,3,2,1,5,6,0,0,31,14,2,2,2
422,20055,2020-06-27,03,04,12,18,34,10,12,12,04,34,03,18,"733,955,513",0,0,69,"245,252","323,557,054",71,14.20,21,1,4,-3,0,3,2,3,-1,4,6,1,1,31,16,0,0,2
423,20054,2020-06-24,11,14,15,19,20,03,07,11,20,19,14,15,"652,393,350",8,"6,499,570",109,"119,965","316,196,813",79,15.80,19,3,2,1,1,0,2,3,-1,5,3,2,2,9,4,0,1,3
424,20053,2020-06-22,02,15,18,21,27,03,06,21,02,27,15,18,"660,208,306",2,"10,000,000",72,"226,197","321,021,775",83,16.60,23,3,2,1,1,0,3,2,1,5,4,0,0,25,13,0,0,1
425,20052,2020-06-20,09,11,26,28,35,06,07,26,11,28,35,09,"617,935,817",1,"10,000,000",109,"139,182","346,849,702",109,21.80,29,3,2,1,1,1,3,2,1,5,4,0,0,26,15,0,1,0
426,20051,2020-06-17,02,07,09,19,33,01,07,19,07,02,09,33,"546,514,270",3,"9,837,277",135,"83,927","316,737,986",70,14.00,30,4,1,3,3,0,2,3,-1,4,6,0,0,31,14,0,0,2
427,20050,2020-06-15,03,14,16,22,34,02,06,34,16,03,22,14,"519,429,958",3,"10,000,000",47,"338,385","319,364,735",89,17.80,19,1,4,-3,0,3,2,3,-1,4,6,0,0,31,12,2,2,2
428,20049,2020-06-13,03,11,15,22,30,08,10,22,11,03,30,15,"466,168,612",7,"6,767,678",175,"79,868","346,562,943",81,16.20,11,3,2,1,2,1,2,3,-1,5,4,0,0,27,8,1,2,2
429,20048,2020-06-10,03,09,10,15,16,07,09,09,03,10,16,15,"464,779,671",6,"6,920,039",92,"145,440","326,341,634",53,10.60,23,3,2,1,1,0,0,5,-5,5,2,2,2,13,6,0,0,1
430,20047,2020-06-08,04,18,27,28,30,03,10,18,04,28,27,30,"459,553,012",5,"7,088,857",83,"168,127","329,244,489",107,21.40,27,1,4,-3,0,2,4,1,3,4,6,1,1,26,14,1,2,1
431,20046,2020-06-06,15,24,27,30,34,04,12,27,34,15,24,30,"450,033,830",2,"10,000,000",93,"167,603","356,817,551",130,26.00,20,2,3,-1,0,1,4,1,3,4,5,0,0,19,9,0,1,2
432,20045,2020-06-03,02,09,16,23,27,03,08,23,09,27,16,02,"397,099,392",56,"5,129,137",351,"22,068","331,645,185",77,15.40,27,3,2,1,1,0,2,3,-1,5,3,0,0,25,7,0,0,3
433,20044,2020-06-01,01,03,22,28,30,02,05,03,01,28,22,30,"793,042,322",4,"7,648,434",79,"159,905","326,278,357",84,16.80,14,2,3,-1,1,2,3,2,1,5,4,0,0,29,19,0,0,1
434,20043,2020-05-30,12,13,17,31,32,01,06,17,32,31,12,13,"775,887,380",2,"10,000,000",64,"247,923","361,785,294",105,21.00,15,3,2,1,2,0,2,3,-1,4,4,2,2,20,14,0,0,1
435,20042,2020-05-27,03,04,05,11,22,05,06,05,11,03,04,22,"712,471,085",73,"5,024,350",1424,"20,000","329,246,559",45,9.00,15,3,2,1,1,0,1,4,-3,5,5,2,1,19,11,0,0,0
436,20041,2020-05-25,07,13,20,29,34,04,07,13,34,07,20,29,"1,240,028,370",10,"8,174,807",85,"164,840","323,641,936",103,20.60,23,3,2,1,1,0,3,2,1,5,6,0,0,27,9,1,2,1
437,20040,2020-05-23,02,17,20,28,29,01,07,29,28,02,20,17,"1,290,293,247",3,"10,000,000",99,"155,828","350,219,331",96,19.20,26,2,3,-1,0,1,3,2,1,5,6,1,1,27,15,0,0,1
438,20039,2020-05-20,01,05,15,22,31,02,09,01,05,22,31,15,"1,252,426,577",2,"10,000,000",82,"200,203","327,734,435",74,14.80,14,4,1,3,2,0,2,3,-1,3,6,0,0,30,10,1,2,1
439,20038,2020-05-18,04,15,20,22,24,01,09,20,24,22,15,04,"1,189,804,474",1,"10,000,000",68,"235,783","321,713,613",85,17.00,15,1,4,-3,0,2,3,2,1,4,5,0,0,20,11,0,1,1
440,20037,2020-05-16,01,04,10,11,14,02,05,04,10,01,11,14,"1,119,552,352",11,"8,423,230",163,"97,469","347,550,329",40,8.00,10,2,3,-1,0,1,0,5,-5,3,4,1,1,13,6,1,2,3
441,20036,2020-05-13,01,05,11,12,26,02,07,11,01,05,26,12,"1,165,797,220",6,"10,000,000",99,"152,093","329,608,250",55,11.00,15,3,2,1,2,1,1,4,-3,4,6,1,1,25,14,0,2,2
442,20035,2020-05-11,10,11,22,26,28,02,04,28,11,10,26,22,"1,181,117,013",2,"10,000,000",80,"190,608","322,907,375",97,19.40,17,1,4,-3,0,2,3,2,1,5,6,1,1,18,11,0,1,3
443,20034,2020-05-09,11,13,20,27,31,02,04,13,20,31,11,27,"1,119,481,106",8,"9,891,637",65,"286,379","363,231,403",102,20.40,12,4,1,3,2,0,3,2,1,4,5,0,0,20,7,1,2,1
444,20033,2020-05-06,07,19,20,31,34,05,08,34,19,20,07,31,"1,148,417,852",6,"10,000,000",96,"143,208","344,128,096",111,22.20,21,3,2,1,1,0,4,1,3,5,5,1,1,27,12,0,0,1
445,20032,2020-05-04,02,03,09,16,32,03,04,09,32,02,16,03,"1,167,303,638",19,"5,845,668",169,"37,815","315,030,186",62,12.40,22,2,3,-1,1,1,1,4,-3,4,5,1,1,30,16,0,1,3
446,20031,2020-05-02,01,02,05,15,21,04,05,02,01,05,21,15,"1,285,895,989",7,"9,916,051",102,"134,204","348,801,433",44,8.80,14,4,1,3,2,0,1,4,-3,3,6,1,1,20,10,1,1,1
447,20030,2020-04-29,01,08,17,27,30,05,06,08,01,17,30,27,"1,308,815,503",6,"9,047,466",154,"71,986","336,512,111",83,16.60,23,3,2,1,1,0,2,3,-1,4,6,0,0,29,10,2,2,0
448,20029,2020-04-27,11,14,17,22,30,07,09,11,22,17,30,14,"1,333,962,954",4,"10,000,000",100,"122,739","274,347,215",94,18.80,14,2,3,-1,0,1,2,3,-1,5,4,0,0,19,8,0,0,0
449,20028,2020-04-25,04,05,28,34,35,01,08,04,35,05,34,28,"1,319,654,038",13,"6,757,551",201,"60,732","297,809,663",106,21.20,26,2,3,-1,0,1,3,2,1,3,4,2,2,31,23,1,1,1
450,20027,2020-04-22,04,07,20,25,32,03,09,32,20,25,04,07,"1,403,985,232",6,"9,243,858",76,"168,946","267,026,928",88,17.60,18,2,3,-1,0,0,3,2,1,5,6,0,0,28,13,0,1,2
451,20026,2020-04-20,03,15,26,32,34,08,12,32,26,03,34,15,"1,423,923,368",7,"9,777,969",97,"148,263","267,647,668",110,22.00,20,2,3,-1,1,2,3,2,1,5,6,0,0,31,12,0,1,2
452,20025,2020-04-18,02,14,21,22,26,05,07,22,26,21,14,02,"1,442,053,199",5,"10,000,000",81,"158,628","290,980,102",85,17.00,15,1,4,-3,0,2,3,2,1,4,5,1,1,24,12,0,0,1
453,20024,2020-04-15,03,05,06,24,30,03,07,24,03,05,30,06,"1,437,049,655",4,"9,810,302",143,"56,756","274,944,706",68,13.60,18,2,3,-1,1,2,2,3,-1,5,6,1,1,27,18,1,1,3
454,20023,2020-04-13,04,11,23,26,30,01,06,11,26,23,04,30,"1,448,119,562",5,"10,000,000",76,"144,157","266,526,290",94,18.80,14,2,3,-1,1,1,3,2,1,5,4,0,0,26,12,1,1,0
455,20022,2020-04-11,04,14,20,28,35,02,03,14,04,20,35,28,"1,459,915,832",1,"10,000,000",85,"132,699","279,808,308",101,20.20,21,1,4,-3,0,3,3,2,1,4,6,0,0,31,10,0,0,0
456,20021,2020-04-08,10,12,24,31,33,04,09,31,33,10,12,24,"1,418,256,965",9,"8,087,069",129,"94,599","255,667,147",110,22.00,10,2,3,-1,1,2,3,2,1,5,4,0,0,23,12,0,2,2
