,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
36,03037,09,14,17,18,26,32,07,116,19.33,36,2,4,-2,0,2,4,2,2,6,8,1,1,23,8,0,0,1
37,03038,05,07,08,24,25,27,16,96,16.00,36,4,2,2,2,1,3,3,0,4,4,2,2,22,16,0,0,3
38,03039,03,05,23,24,27,32,03,114,19.00,24,4,2,2,2,0,4,2,2,5,10,1,1,29,18,1,3,2
39,03040,04,05,06,12,14,23,16,64,10.67,24,2,4,-2,0,2,1,5,-4,5,6,2,1,19,9,1,2,3
40,03041,02,03,17,18,24,25,11,89,14.83,29,3,3,0,1,1,4,2,2,6,5,3,3,23,14,0,0,2
41,03042,03,05,07,10,15,20,07,60,10.00,20,4,2,2,2,0,1,5,-4,4,6,0,0,17,5,0,1,1
42,03043,02,08,10,19,20,32,13,91,15.17,21,1,5,-4,0,3,3,3,0,4,9,1,1,30,12,0,2,3
43,03044,02,05,09,16,32,33,15,97,16.17,27,3,3,0,1,1,2,4,-2,5,9,1,1,31,16,1,2,2
44,03045,03,07,14,15,17,32,03,88,14.67,28,4,2,2,2,0,2,4,-2,5,10,1,1,29,15,0,1,4
45,03046,07,08,10,11,17,26,11,79,13.17,29,3,3,0,1,1,2,4,-2,5,7,2,2,19,9,1,2,1
46,03047,03,17,26,28,32,33,16,139,23.17,29,3,3,0,1,2,5,1,4,5,10,1,1,30,14,0,2,0
47,03048,10,12,20,28,30,31,09,131,21.83,11,1,5,-4,0,4,4,2,2,4,6,1,1,21,8,1,1,1
48,03049,03,06,07,13,24,25,15,78,13.00,28,4,2,2,1,0,2,4,-2,5,8,2,2,22,11,0,0,1
49,03050,02,08,17,23,24,26,13,100,16.67,30,2,4,-2,1,2,4,2,2,6,7,1,1,24,9,1,1,5
50,03051,04,13,15,17,24,27,01,100,16.67,30,4,2,2,2,0,3,3,0,4,7,0,0,23,9,1,2,2
51,03052,01,12,13,23,30,31,11,110,18.33,10,4,2,2,1,0,3,3,0,4,7,2,2,30,11,0,1,2
52,03053,15,19,20,21,28,29,13,132,22.00,32,4,2,2,1,0,5,1,4,5,6,3,2,14,7,0,0,1
53,03054,02,05,09,21,31,33,12,101,16.83,21,5,1,4,4,0,3,3,0,5,9,0,0,31,12,1,1,1
54,03055,06,13,16,21,28,31,16,115,19.17,25,3,3,0,0,0,3,3,0,4,5,0,0,25,7,1,2,1
55,03056,08,17,21,26,28,29,07,129,21.50,39,3,3,0,1,1,5,1,4,5,9,1,1,21,9,1,2,2
56,03057,18,19,24,25,30,31,16,147,24.50,27,3,3,0,0,0,6,0,6,6,2,3,3,13,5,0,0,3
57,03058,09,11,16,28,32,33,02,129,21.50,29,3,3,0,1,2,3,3,0,6,8,1,1,24,12,0,0,1
58,03059,02,03,05,06,18,30,04,64,10.67,24,2,4,-2,1,2,2,4,-2,6,7,2,2,28,12,0,0,0
59,03060,02,04,06,17,21,28,11,78,13.00,28,2,4,-2,1,2,3,3,0,6,6,0,0,26,11,1,2,4
60,03061,03,05,20,21,28,32,02,109,18.17,19,3,3,0,1,1,4,2,2,6,10,1,1,29,15,0,2,3
61,03062,01,06,12,19,20,32,14,90,15.00,20,2,4,-2,0,2,3,3,0,5,9,1,1,31,12,1,2,3
62,03063,05,08,09,14,21,33,11,90,15.00,30,4,2,2,1,0,2,4,-2,6,9,1,1,28,12,0,0,3
63,03064,04,06,08,12,15,30,01,75,12.50,25,1,5,-4,0,3,1,5,-4,6,8,0,0,26,15,0,1,4
64,03065,06,15,16,17,30,33,11,117,19.50,27,3,3,0,0,0,3,3,0,5,9,2,1,27,13,0,3,1
65,03066,03,07,08,20,24,32,14,94,15.67,24,2,4,-2,1,3,3,3,0,6,7,1,1,29,12,0,0,2
66,03067,05,11,12,13,27,31,10,99,16.50,19,5,1,4,3,0,2,4,-2,5,9,2,1,26,14,0,0,1
67,03068,09,19,25,27,32,33,11,145,24.17,35,5,1,4,3,0,5,1,4,5,8,1,1,24,10,0,1,1
68,03069,07,11,16,19,26,28,11,107,17.83,37,3,3,0,1,1,3,3,0,5,8,0,0,21,7,0,1,2
69,03070,01,02,04,17,18,19,08,61,10.17,31,3,3,0,0,1,3,3,0,6,4,3,2,18,13,0,1,2
70,03071,09,11,12,14,15,33,11,94,15.67,24,4,2,2,2,1,1,5,-4,6,6,2,2,24,18,0,0,0
71,03072,03,06,08,11,19,27,11,74,12.33,34,4,2,2,2,1,2,4,-2,6,5,0,0,24,8,0,1,2
72,03073,02,12,14,21,23,30,13,102,17.00,12,2,4,-2,1,2,3,3,0,5,6,0,0,28,10,0,0,2
73,03074,02,12,19,22,27,32,01,114,19.00,24,2,4,-2,0,1,4,2,2,3,6,0,0,30,10,2,2,1
74,03075,16,17,19,22,31,33,11,138,23.00,28,4,2,2,2,0,5,1,4,6,7,1,1,17,9,2,2,2
75,03076,01,13,16,18,20,29,02,97,16.17,27,3,3,0,1,2,3,3,0,6,9,0,0,28,12,0,1,3
76,03077,04,12,16,22,24,25,06,103,17.17,23,1,5,-4,0,4,3,3,0,4,8,1,1,21,8,1,1,1
77,03078,07,12,23,26,29,30,11,127,21.17,27,3,3,0,0,0,4,2,2,6,9,1,1,23,11,1,1,2
78,03079,12,15,22,23,26,31,04,129,21.50,19,3,3,0,0,0,4,2,2,5,7,1,1,19,7,0,3,2
79,03080,09,20,24,25,28,30,10,136,22.67,26,2,4,-2,0,2,5,1,4,5,8,1,1,21,11,0,0,3
80,03081,01,02,14,26,29,30,07,102,17.00,22,2,4,-2,0,2,3,3,0,6,7,2,2,29,12,1,1,2
81,03082,07,17,18,19,30,31,14,122,20.33,32,4,2,2,1,0,5,1,4,5,4,3,2,24,11,0,1,2
82,03083,01,03,14,18,26,28,01,90,15.00,30,2,4,-2,1,3,3,3,0,5,8,0,0,27,11,0,1,1
83,03084,02,06,07,10,17,33,03,75,12.50,25,3,3,0,1,1,2,4,-2,5,9,1,1,31,16,0,0,2
84,03085,01,04,11,12,19,27,14,74,12.33,24,4,2,2,1,0,2,4,-2,5,6,1,1,26,8,0,0,2
85,03086,05,12,16,18,26,30,13,107,17.83,27,1,5,-4,0,4,3,3,0,5,8,0,0,25,8,0,1,4
86,03087,02,03,04,05,24,28,13,66,11.00,26,2,4,-2,0,1,2,4,-2,5,7,3,1,26,19,0,1,1
87,03088,03,10,21,22,24,33,12,113,18.83,13,3,3,0,0,1,4,2,2,5,8,1,1,30,11,1,2,1
88,03089,18,19,21,26,27,33,16,144,24.00,34,4,2,2,2,0,6,0,6,6,6,2,2,15,6,2,2,1
89,04001,01,02,03,07,10,25,07,48,8.00,18,4,2,2,1,0,1,5,-4,6,9,2,1,24,15,0,0,1
90,04002,10,12,18,22,30,31,11,123,20.50,13,1,5,-4,0,4,4,2,2,4,8,1,1,21,8,0,1,0
91,04003,03,05,06,17,26,33,08,90,15.00,30,4,2,2,1,0,3,3,0,4,10,1,1,30,11,0,0,1
92,04004,10,19,22,23,25,29,09,128,21.33,28,4,2,2,2,0,5,1,4,5,7,1,1,19,9,0,0,1
93,04005,09,11,13,16,17,18,07,84,14.00,34,4,2,2,2,0,2,4,-2,6,4,2,1,9,3,0,0,3
94,04006,04,12,18,20,23,32,06,109,18.17,19,1,5,-4,0,3,4,2,2,5,8,0,0,28,9,0,1,2
95,04007,04,12,17,20,25,28,09,106,17.67,26,2,4,-2,0,1,4,2,2,6,3,0,0,24,8,3,3,1
96,04008,01,07,10,22,32,33,13,105,17.50,15,3,3,0,1,2,3,3,0,5,10,1,1,32,12,0,0,0
97,04009,01,09,10,16,22,24,11,82,13.67,22,2,4,-2,1,3,2,4,-2,6,7,1,1,23,8,2,3,1
98,04010,06,07,08,13,14,19,15,67,11.17,37,3,3,0,0,0,1,5,-4,6,4,3,2,13,5,0,0,1
99,04011,01,04,13,23,28,30,03,99,16.50,19,3,3,0,1,1,3,3,0,5,10,0,0,29,10,0,1,1
100,04012,01,07,27,30,31,33,08,129,21.50,19,5,1,4,3,0,4,2,2,4,7,1,1,32,20,1,2,2
101,04013,12,14,21,29,30,32,13,138,23.00,18,2,4,-2,1,2,4,2,2,5,7,1,1,20,8,0,1,3
102,04014,03,07,11,17,20,26,12,84,14.00,24,4,2,2,3,1,3,3,0,5,7,0,0,23,6,0,0,2
103,04015,01,03,05,18,22,23,13,72,12.00,22,4,2,2,2,1,3,3,0,5,7,1,1,22,13,0,1,1
104,04016,04,07,08,28,30,32,05,109,18.17,29,1,5,-4,0,3,3,3,0,5,7,1,1,28,20,0,0,1
105,04017,05,12,14,15,25,31,09,102,17.00,22,4,2,2,2,1,2,4,-2,4,9,1,1,26,10,0,0,2
106,04018,02,05,06,08,28,30,06,79,13.17,29,1,5,-4,0,3,2,4,-2,5,7,1,1,28,20,0,1,2
107,04019,05,10,11,23,24,32,04,105,17.50,15,3,3,0,1,1,3,3,0,6,8,2,2,27,12,0,1,1
108,04020,01,02,09,22,28,31,04,93,15.50,23,3,3,0,0,1,3,3,0,4,10,1,1,30,13,0,0,3
109,04021,05,09,11,17,26,27,10,95,15.83,35,5,1,4,3,0,3,3,0,5,9,1,1,22,9,0,1,1
110,04022,03,10,14,19,20,30,06,96,16.00,16,2,4,-2,0,2,3,3,0,4,7,1,1,27,10,0,0,1
111,04023,01,08,14,17,19,30,03,89,14.83,29,3,3,0,1,1,3,3,0,6,7,0,0,29,11,2,3,1
112,04024,01,13,21,23,25,32,06,115,19.17,15,5,1,4,4,0,4,2,2,4,8,0,0,31,12,1,1,1
113,04025,07,08,10,24,29,33,04,111,18.50,31,3,3,0,1,2,3,3,0,6,10,1,1,26,14,0,0,2
114,04026,04,10,14,18,28,32,15,106,17.67,26,0,6,-6,0,5,3,3,0,4,4,0,0,28,10,0,1,2
115,04027,01,05,09,10,18,32,11,75,12.50,25,3,3,0,2,2,2,4,-2,6,7,1,1,31,14,1,3,2
116,04028,01,02,03,05,10,22,12,43,7.17,13,3,3,0,1,1,1,5,-4,5,8,2,1,21,12,1,3,2
117,04029,09,13,20,22,24,32,05,120,20.00,20,2,4,-2,1,3,4,2,2,5,7,0,0,23,8,0,1,1
118,04030,01,07,09,17,26,31,05,91,15.17,31,5,1,4,3,0,3,3,0,4,9,0,0,30,9,0,1,1
119,04031,03,06,19,20,21,24,11,93,15.50,23,3,3,0,0,0,4,2,2,6,7,2,1,21,13,0,0,1
120,04032,02,05,08,11,15,31,13,72,12.00,22,4,2,2,2,0,1,5,-4,4,7,0,0,29,16,0,0,2
121,04033,01,04,08,09,19,20,01,61,10.17,31,3,3,0,1,1,2,4,-2,5,8,2,2,19,10,1,1,3
122,04034,02,07,13,20,27,30,14,99,16.50,19,3,3,0,1,0,3,3,0,4,9,0,0,28,7,0,1,3
123,04035,02,08,26,27,30,32,16,125,20.83,25,1,5,-4,0,3,4,2,2,5,8,1,1,30,18,1,3,2
124,04036,02,13,17,18,26,30,01,106,17.67,26,2,4,-2,1,2,4,2,2,6,8,1,1,28,11,1,3,1
125,04037,03,04,11,17,20,26,05,81,13.50,21,3,3,0,1,1,3,3,0,6,8,1,1,23,7,0,2,2
126,04038,11,16,17,25,28,29,07,126,21.00,36,4,2,2,1,0,4,2,2,6,8,2,2,18,8,0,2,2
127,04039,10,16,18,25,26,29,03,124,20.67,34,2,4,-2,0,2,4,2,2,5,9,1,1,19,7,3,3,5
128,04040,07,17,19,20,21,29,11,113,18.83,33,5,1,4,3,0,5,1,4,4,6,2,1,22,10,1,1,2
129,04041,08,10,17,22,25,29,14,111,18.50,31,3,3,0,1,1,4,2,2,6,8,0,0,21,7,1,2,2
130,04042,06,10,13,17,18,21,02,85,14.17,25,3,3,0,1,1,3,3,0,6,4,1,1,15,4,1,2,2
131,04043,04,09,10,21,22,24,10,90,15.00,20,2,4,-2,0,1,3,3,0,5,8,2,2,20,11,0,2,2
132,04044,02,06,07,12,31,32,05,90,15.00,20,2,4,-2,0,1,2,4,-2,4,7,2,2,30,19,0,0,0
133,04045,01,12,18,26,27,28,13,112,18.67,32,2,4,-2,0,2,4,2,2,5,9,2,1,27,11,0,1,1
134,04046,07,15,16,22,23,32,14,115,19.17,25,3,3,0,1,1,3,3,0,5,5,2,2,25,9,0,0,0
135,04047,01,07,08,11,27,31,06,85,14.17,25,5,1,4,3,0,2,4,-2,3,8,1,1,30,16,0,1,2
136,04048,08,09,11,16,17,29,09,90,15.00,40,4,2,2,2,0,2,4,-2,5,8,2,2,21,12,0,2,2
137,04049,11,12,14,16,25,29,09,107,17.83,27,3,3,0,1,2,2,4,-2,6,7,1,1,18,9,2,3,2
138,04050,06,07,19,21,25,29,02,107,17.83,37,5,1,4,4,0,4,2,2,5,9,1,1,23,12,2,2,0
139,04051,02,03,09,10,15,29,11,68,11.33,28,4,2,2,2,0,1,5,-4,5,7,2,2,27,14,1,1,0
140,04052,01,12,14,15,17,29,09,88,14.67,28,4,2,2,2,1,2,4,-2,6,7,1,1,28,12,1,2,2
141,04053,02,03,04,09,24,25,02,67,11.17,27,3,3,0,0,0,2,4,-2,5,6,3,2,23,15,0,0,1
142,04054,09,11,14,16,27,28,11,105,17.50,35,3,3,0,1,1,2,4,-2,6,8,1,1,19,11,0,1,0
143,04055,06,08,19,25,29,32,07,119,19.83,39,3,3,0,2,1,4,2,2,5,9,0,0,26,11,0,0,2
144,04056,01,20,21,25,29,30,02,126,21.00,16,4,2,2,2,0,5,1,4,4,6,2,2,29,19,2,2,2
145,04057,05,21,23,25,28,32,04,134,22.33,24,4,2,2,3,1,5,1,4,5,7,0,0,27,16,1,2,2
146,04058,01,08,11,12,27,31,12,90,15.00,20,4,2,2,1,0,2,4,-2,4,8,1,1,30,15,0,0,2
147,04059,04,07,11,19,23,26,10,90,15.00,30,4,2,2,3,0,3,3,0,6,4,0,0,22,8,1,1,3
148,04060,03,05,11,24,27,28,15,98,16.33,28,4,2,2,2,0,3,3,0,6,10,1,1,25,13,1,1,4
149,04061,13,16,19,20,23,33,09,124,20.67,24,4,2,2,1,0,4,2,2,4,5,1,1,20,10,0,0,1
150,04062,01,12,25,27,28,29,13,122,20.33,32,4,2,2,1,0,4,2,2,6,8,2,1,28,13,0,0,1
151,04063,07,10,13,16,27,28,07,101,16.83,31,3,3,0,0,0,2,4,-2,5,7,1,1,21,11,0,2,3
152,04064,14,15,18,20,27,31,04,125,20.83,25,3,3,0,1,1,4,2,2,6,8,1,1,17,7,1,1,3
153,04065,13,14,27,29,32,33,08,148,24.67,28,4,2,2,1,0,4,2,2,5,8,2,2,20,13,0,2,3
154,04066,05,13,20,23,24,25,03,110,18.33,20,4,2,2,1,0,4,2,2,4,9,2,1,20,8,0,1,1
155,04067,01,06,07,13,16,32,04,75,12.50,25,3,3,0,1,1,1,5,-4,5,9,1,1,31,16,0,1,1
156,04068,02,08,11,13,24,31,15,89,14.83,19,3,3,0,1,1,2,4,-2,5,9,0,0,29,11,1,1,3
157,04069,02,11,15,20,22,29,05,99,16.50,19,3,3,0,1,1,3,3,0,5,6,0,0,27,9,1,2,0
158,04070,10,12,21,22,30,33,06,128,21.33,8,2,4,-2,0,2,4,2,2,4,7,1,1,23,9,0,1,4
159,04071,03,08,16,17,21,29,06,94,15.67,34,4,2,2,2,1,3,3,0,6,6,1,1,26,8,0,1,2
160,04072,08,15,18,28,30,33,14,132,22.00,32,2,4,-2,0,2,4,2,2,4,7,0,0,25,10,0,1,4
161,04073,02,07,13,16,23,28,16,89,14.83,29,3,3,0,1,0,2,4,-2,5,8,0,0,26,7,0,1,2
162,04074,05,06,15,19,26,29,13,100,16.67,40,4,2,2,1,0,3,3,0,3,8,1,1,24,9,0,0,3
163,04075,07,18,21,26,27,28,07,127,21.17,37,3,3,0,0,0,5,1,4,4,9,2,1,21,11,0,1,4
164,04076,03,05,13,17,25,31,07,94,15.67,24,6,0,6,5,0,3,3,0,4,7,0,0,28,8,0,0,2
165,04077,08,09,10,14,16,26,07,83,13.83,33,1,5,-4,0,3,1,5,-4,5,7,2,1,18,10,0,0,3
166,04078,04,05,10,21,24,26,05,90,15.00,20,2,4,-2,0,1,3,3,0,5,8,1,1,22,11,2,2,1
167,04079,07,13,14,17,19,30,03,100,16.67,30,4,2,2,2,0,3,3,0,5,9,1,1,23,11,0,0,0
168,04080,03,08,20,23,24,26,16,104,17.33,24,2,4,-2,0,2,4,2,2,5,9,1,1,23,12,0,0,2
169,04081,03,05,21,24,27,32,06,112,18.67,22,4,2,2,2,0,4,2,2,6,9,0,0,29,16,1,2,3
170,04082,03,20,24,27,29,30,15,133,22.17,23,3,3,0,1,1,5,1,4,5,9,1,1,27,17,1,3,1
171,04083,14,16,27,28,30,33,06,148,24.67,28,2,4,-2,0,2,4,2,2,6,7,1,1,19,11,0,2,2
172,04084,01,04,08,11,21,25,14,70,11.67,20,4,2,2,2,1,2,4,-2,4,5,0,0,24,10,0,0,0
173,04085,03,08,11,29,30,32,01,113,18.83,23,3,3,0,1,1,3,3,0,6,8,1,1,29,18,0,2,1
174,04086,10,13,18,19,25,27,01,112,18.67,32,4,2,2,2,0,4,2,2,6,7,1,1,17,6,0,0,1
175,04087,01,03,07,08,25,26,14,70,11.67,30,4,2,2,2,0,2,4,-2,6,8,2,2,25,17,1,1,1
176,04088,02,10,19,22,24,32,14,109,18.17,19,1,5,-4,0,3,4,2,2,4,8,0,0,30,9,0,0,2
177,04089,14,17,20,25,28,30,14,134,22.33,24,2,4,-2,0,1,5,1,4,5,5,0,0,16,5,0,0,2
178,04090,01,18,20,24,32,33,12,128,21.33,18,2,4,-2,0,3,5,1,4,6,10,1,1,32,17,1,1,2
179,04091,09,13,14,21,30,33,01,120,20.00,20,4,2,2,1,0,3,3,0,5,9,1,1,24,9,1,1,2
180,04092,01,04,08,13,28,31,02,85,14.17,25,3,3,0,0,1,2,4,-2,4,8,0,0,30,15,0,1,3
181,04093,11,14,20,27,32,33,05,137,22.83,17,3,3,0,0,1,4,2,2,6,8,1,1,22,7,0,0,3
182,04094,05,09,10,13,24,25,08,86,14.33,26,4,2,2,1,0,2,4,-2,5,7,2,2,20,11,0,0,2
183,04095,19,22,27,28,30,32,01,158,26.33,28,2,4,-2,0,2,6,0,6,5,6,1,1,13,5,0,0,0
184,04096,01,04,12,16,20,30,15,83,13.83,13,1,5,-4,0,4,2,4,-2,5,8,0,0,29,10,0,1,1
185,04097,10,19,20,26,29,31,14,135,22.50,25,3,3,0,1,1,5,1,4,4,8,1,1,21,9,0,1,3
186,04098,03,12,13,25,26,31,03,110,18.33,20,4,2,2,1,0,3,3,0,5,8,2,2,28,12,1,2,1
187,04099,05,10,21,22,26,33,02,117,19.50,17,3,3,0,0,1,4,2,2,6,6,1,1,28,11,1,1,1
188,04100,06,08,09,14,24,33,15,94,15.67,34,2,4,-2,0,2,2,4,-2,5,10,1,1,27,10,1,1,2
189,04101,02,09,14,19,25,26,15,95,15.83,35,3,3,0,1,0,3,3,0,5,6,1,1,24,7,0,2,2
190,04102,03,09,12,15,28,32,01,99,16.50,29,3,3,0,1,1,2,4,-2,5,8,0,0,29,13,1,1,2
191,04103,02,03,05,09,16,21,02,56,9.33,26,4,2,2,2,0,1,5,-4,6,9,1,1,19,7,0,2,2
192,04104,07,11,17,18,24,29,05,106,17.67,36,4,2,2,2,1,4,2,2,5,7,1,1,22,6,0,0,1
193,04105,07,09,10,21,23,30,12,100,16.67,20,4,2,2,2,0,3,3,0,5,8,1,1,23,11,1,1,3
194,04106,10,15,23,26,28,29,12,131,21.83,31,3,3,0,1,1,4,2,2,6,7,1,1,19,8,0,2,2
195,04107,01,08,12,13,18,20,07,72,12.00,22,2,4,-2,0,2,2,4,-2,5,7,1,1,19,7,0,0,0
196,04108,08,13,14,27,28,31,12,121,20.17,31,3,3,0,0,0,3,3,0,5,8,2,2,23,13,0,2,2
197,04109,06,08,10,17,30,31,14,102,17.00,22,2,4,-2,0,2,3,3,0,5,9,1,1,25,13,1,2,1
198,04110,14,19,20,21,22,31,11,127,21.17,17,3,3,0,0,0,5,1,4,5,7,3,1,17,9,1,1,1
199,04111,11,16,18,20,26,31,02,122,20.33,22,2,4,-2,0,3,4,2,2,4,7,0,0,20,6,1,2,2
200,04112,09,13,15,21,26,33,06,117,19.50,27,5,1,4,3,0,3,3,0,5,8,0,0,24,7,1,1,2
201,04113,08,10,23,25,31,32,07,129,21.50,19,3,3,0,2,1,4,2,2,6,8,1,1,24,13,0,0,4
202,04114,01,06,09,17,21,22,01,76,12.67,26,4,2,2,2,0,3,3,0,5,7,1,1,21,8,0,0,2
203,04115,02,16,20,30,31,33,01,132,22.00,12,2,4,-2,1,3,4,2,2,5,9,1,1,31,14,0,0,3
204,04116,01,03,05,08,14,33,03,64,10.67,24,4,2,2,2,1,1,5,-4,5,9,0,0,32,19,1,1,2
205,04117,01,03,07,14,24,25,07,74,12.33,24,4,2,2,2,1,2,4,-2,5,9,1,1,24,10,2,3,1
206,04118,03,04,07,12,30,31,15,87,14.50,17,3,3,0,0,1,2,4,-2,6,8,2,2,28,18,1,2,1
207,04119,06,09,18,20,25,33,06,111,18.50,31,3,3,0,1,1,4,2,2,6,10,0,0,27,9,0,0,1
208,04120,07,08,18,21,27,32,10,113,18.83,33,3,3,0,1,1,4,2,2,4,8,1,1,25,10,1,1,4
209,04121,07,13,16,18,30,32,10,116,19.33,26,2,4,-2,1,3,3,3,0,6,8,0,0,25,12,2,3,1
210,04122,03,11,14,22,24,31,15,105,17.50,15,3,3,0,1,2,3,3,0,4,8,0,0,28,8,0,0,2
211,05001,01,07,08,23,27,28,14,94,15.67,34,4,2,2,2,0,3,3,0,4,8,2,2,27,15,0,0,1
212,05002,06,09,20,26,28,33,14,122,20.33,32,2,4,-2,0,2,4,2,2,5,10,0,0,27,11,0,1,4
213,05003,09,12,15,19,22,31,16,108,18.00,28,4,2,2,1,0,3,3,0,4,6,0,0,22,9,0,1,1
214,05004,01,04,08,09,22,23,03,67,11.17,27,3,3,0,0,1,2,4,-2,6,8,2,2,22,13,1,2,2
215,05005,05,09,20,26,28,33,15,121,20.17,31,3,3,0,1,2,4,2,2,6,10,0,0,28,11,0,1,2
216,05006,02,04,05,15,21,31,16,78,13.00,18,4,2,2,3,1,2,4,-2,4,8,1,1,29,10,0,1,2
217,05007,07,15,17,20,23,33,15,115,19.17,25,5,1,4,3,0,4,2,2,4,5,0,0,26,10,0,1,1
218,05008,11,19,22,27,32,33,11,144,24.00,24,4,2,2,1,0,5,1,4,5,7,1,1,22,8,1,1,3
219,05009,02,17,22,27,29,31,14,128,21.33,28,4,2,2,2,0,5,1,4,4,8,0,0,29,15,2,2,1
220,05010,08,10,11,18,25,26,01,98,16.33,28,2,4,-2,0,1,3,3,0,5,6,2,2,18,7,0,0,2
221,05011,09,11,13,15,22,30,15,100,16.67,20,4,2,2,3,1,2,4,-2,6,7,0,0,21,8,0,1,2
