,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
26,23018,2023-02-19,10,12,17,19,25,31,13,10,19,12,17,25,31,"1,996,089,903",1,"10,000,000",380,"81,771","428,078,014",114,19.00,24,4,2,2,3,1,4,2,2,6,7,0,0,21,6,0,0,5
27,23017,2023-02-16,05,11,18,20,26,28,12,26,18,28,20,05,11,"1,912,869,860",6,"8,173,990",195,"122,076","385,010,210",108,18.00,28,2,4,-2,1,3,4,2,2,5,6,0,0,23,7,0,1,2
28,23016,2023-02-14,14,16,19,23,28,30,03,14,16,30,19,23,28,"1,890,499,018",2,"10,000,000",79,"296,038","363,237,418",130,21.67,30,2,4,-2,1,2,4,2,2,6,5,0,0,16,5,0,1,2
29,23015,2023-02-12,02,03,14,21,29,32,08,32,02,29,03,14,21,"1,840,337,997",10,"6,277,056",195,"81,862","392,727,530",101,16.83,21,3,3,0,1,0,3,3,0,5,8,1,1,30,11,0,0,1
30,23014,2023-02-09,06,07,18,23,27,30,05,23,30,06,18,07,27,"1,855,218,930",5,"8,496,068",147,"148,642","354,854,954",111,18.50,31,3,3,0,1,0,4,2,2,5,9,1,1,24,11,1,2,2
31,23013,2023-02-07,06,10,14,22,23,33,13,14,06,23,22,33,10,"1,832,147,989",2,"10,000,000",81,"313,059","351,959,204",108,18.00,18,2,4,-2,1,3,3,3,0,5,8,1,1,27,10,1,1,2
32,23012,2023-02-05,03,04,07,22,26,30,06,07,26,22,04,03,30,"1,776,074,467",14,"6,444,594",270,"93,631","377,681,908",92,15.33,22,2,4,-2,0,2,3,3,0,6,6,1,1,27,15,0,2,2
33,23011,2023-02-02,06,07,16,17,21,22,04,22,07,06,16,17,21,"1,790,457,577",13,"6,177,691",252,"75,942","344,777,252",89,14.83,29,3,3,0,1,0,3,3,0,4,5,3,3,16,9,0,0,2
34,23010,2023-01-31,04,05,13,18,27,29,12,18,27,05,04,13,29,"1,813,355,120",8,"6,879,623",220,"85,437","335,698,884",96,16.00,36,4,2,2,2,0,3,3,0,6,8,1,1,25,9,0,1,4
35,23009,2023-01-29,03,04,19,23,30,32,06,04,19,30,03,32,23,"1,812,003,410",2,"10,000,000",225,"116,912","370,445,322",111,18.50,21,3,3,0,1,1,4,2,2,5,10,1,1,29,15,0,0,2
