,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
702,18080,2018-07-12,04,07,13,20,29,33,03,33,20,04,13,07,29,"805,444,602",6,"8,230,212",128,"189,270","325,310,442",106,17.67,26,4,2,2,2,0,3,3,0,5,7,0,0,29,9,0,1,1
703,18079,2018-07-10,14,15,17,22,24,29,13,17,15,29,22,24,14,"782,146,094",2,"10,000,000",77,"347,163","327,442,428",121,20.17,31,3,3,0,1,1,4,2,2,5,6,1,1,15,5,0,2,3
704,18078,2018-07-08,03,10,14,17,18,30,12,10,18,03,30,14,17,"721,951,374",6,"7,550,329",204,"93,762","358,569,878",92,15.33,22,2,4,-2,0,2,3,3,0,5,8,1,1,27,12,0,0,3
705,18077,2018-07-05,02,05,09,15,20,24,10,05,24,20,15,09,02,"709,870,938",7,"7,421,960",109,"194,423","327,832,004",75,12.50,25,3,3,0,2,1,2,4,-2,5,8,0,0,22,6,1,1,2
706,18076,2018-07-03,03,07,08,15,29,30,13,30,03,29,15,07,08,"698,248,210",22,"5,565,528",363,"42,843","327,873,252",92,15.33,32,4,2,2,2,0,2,4,-2,6,8,2,2,27,14,0,1,1
707,18075,2018-07-01,07,09,12,13,22,24,11,09,22,13,24,07,12,"774,033,783",17,"5,972,248",120,"172,168","356,378,720",87,14.50,27,3,3,0,1,1,2,4,-2,5,8,1,1,17,9,0,1,2
708,18074,2018-06-28,09,11,14,20,27,30,09,30,27,09,20,11,14,"813,581,190",9,"6,057,912",120,"99,179","327,800,026",111,18.50,21,3,3,0,1,1,3,3,0,5,8,0,0,21,7,1,2,1
709,18073,2018-06-26,02,09,14,15,16,23,10,09,23,02,15,16,14,"832,397,856",8,"7,236,302",104,"215,029","329,645,754",79,13.17,29,3,3,0,0,0,1,5,-4,6,6,2,1,21,7,0,1,2
710,18072,2018-06-24,11,16,19,22,25,30,08,16,22,25,19,11,30,"823,199,206",19,"5,128,649",101,"30,251","372,281,494",123,20.50,23,3,3,0,0,0,4,2,2,6,3,0,0,19,5,0,2,0
711,18071,2018-06-21,02,05,06,13,16,19,03,13,16,05,06,19,02,"911,477,268",9,"6,963,036",110,"200,765","348,880,396",61,10.17,31,3,3,0,0,0,1,5,-4,5,6,1,1,17,7,0,2,2
712,18070,2018-06-19,04,09,15,16,19,27,10,04,19,16,27,09,15,"907,892,115",13,"6,439,454",138,"169,500","339,461,364",90,15.00,40,4,2,2,2,0,2,4,-2,5,8,1,1,23,8,0,1,1
713,18069,2018-06-17,06,13,17,19,23,31,12,23,06,31,19,13,17,"921,431,615",5,"8,350,663",126,"166,203","355,213,336",109,18.17,29,5,1,4,4,0,4,2,2,5,8,0,0,25,8,1,1,2
714,18068,2018-06-14,08,10,17,20,27,30,01,08,10,17,30,20,27,"900,360,000",3,"10,000,000",225,"106,134","332,649,368",112,18.67,22,2,4,-2,0,1,4,2,2,3,6,0,0,22,7,0,0,3
715,18067,2018-06-12,01,04,09,12,15,18,05,12,09,01,18,15,04,"858,719,248",8,"7,355,099",122,"193,040","324,647,042",59,9.83,29,3,3,0,0,0,1,5,-4,6,3,0,0,17,5,0,1,2
716,18066,2018-06-10,09,16,17,19,22,26,10,22,16,17,19,09,26,"846,907,070",10,"6,805,079",195,"115,710","357,968,382",109,18.17,39,3,3,0,1,1,4,2,2,4,7,1,1,17,7,0,0,0
717,18065,2018-06-07,01,04,06,14,28,33,01,06,01,28,04,33,14,"847,267,386",6,"8,384,489",123,"206,371","329,937,636",86,14.33,26,2,4,-2,0,3,2,4,-2,5,8,0,0,32,14,0,0,3
718,18064,2018-06-05,02,05,10,11,17,21,05,11,21,05,17,10,02,"821,423,304",12,"6,202,837",149,"121,091","329,557,586",66,11.00,16,4,2,2,2,0,2,4,-2,5,9,1,1,19,6,1,2,4
719,18063,2018-06-03,05,06,10,16,20,25,12,05,16,10,25,20,06,"841,729,671",27,"5,291,294",315,"31,210","358,387,608",82,13.67,22,2,4,-2,0,3,2,4,-2,3,6,1,1,20,6,0,1,2
720,18062,2018-05-31,02,18,19,24,25,33,11,19,24,33,02,25,18,"955,101,072",6,"8,244,701",109,"223,259","326,938,646",121,20.17,31,3,3,0,1,1,5,1,4,6,8,2,2,31,16,0,1,2
721,18061,2018-05-29,09,10,11,12,18,23,07,10,18,23,11,09,12,"931,563,495",15,"5,915,270",213,"80,569","332,550,974",83,13.83,23,3,3,0,0,1,2,4,-2,6,7,3,1,14,6,0,0,2
722,18060,2018-05-27,04,08,13,25,30,31,10,13,08,31,25,04,30,"968,808,575",5,"8,071,749",111,"172,958","364,451,892",111,18.50,21,3,3,0,1,1,3,3,0,6,8,1,1,27,12,1,3,1
723,18059,2018-05-24,04,06,08,13,22,32,11,22,06,04,32,13,08,"951,572,015",5,"7,926,005",69,"265,036","335,528,070",85,14.17,25,1,5,-4,0,3,2,4,-2,5,8,0,0,28,10,0,1,4
724,18058,2018-05-22,07,12,13,16,26,31,07,07,16,13,31,12,26,"936,339,437",11,"6,534,486",120,"175,826","328,678,478",105,17.50,25,3,3,0,0,1,2,4,-2,5,8,1,1,24,10,0,0,2
725,18057,2018-05-20,05,15,17,19,20,30,13,19,15,20,17,30,05,"944,921,232",9,"7,219,690",193,"129,386","360,079,018",106,17.67,26,4,2,2,3,1,4,2,2,4,7,1,1,25,10,0,1,3
726,18056,2018-05-17,01,03,06,20,21,26,01,20,03,06,21,01,26,"934,983,896",7,"7,536,477",187,"118,685","332,042,280",77,12.83,17,3,3,0,1,1,3,3,0,4,8,1,1,25,14,1,1,2
727,18055,2018-05-15,07,09,10,12,22,26,07,07,09,22,26,12,10,"921,156,717",39,"5,382,270",131,"142,257","328,077,816",86,14.33,26,2,4,-2,1,3,2,4,-2,5,8,1,1,19,10,0,1,2
728,18054,2018-05-13,04,06,18,22,25,33,16,33,04,06,22,18,25,"1,075,158,284",4,"10,000,000",86,"305,357","364,343,470",108,18.00,28,2,4,-2,1,3,4,2,2,6,10,0,0,29,12,0,1,0
729,18053,2018-05-10,01,04,10,11,14,27,06,11,27,04,14,10,01,"1,036,375,992",8,"7,086,603",104,"200,634","336,743,448",67,11.17,17,3,3,0,0,1,1,5,-4,4,7,1,1,26,13,0,0,3
730,18052,2018-05-08,03,05,06,09,15,32,14,06,03,15,09,05,32,"1,030,470,724",4,"9,373,437",104,"210,261","335,132,016",70,11.67,30,4,2,2,2,0,1,5,-4,5,8,1,1,29,17,0,1,2
731,18051,2018-05-06,05,07,20,23,27,31,04,27,31,05,20,23,07,"1,002,362,910",5,"9,213,527",146,"180,373","362,286,900",113,18.83,23,5,1,4,3,0,4,2,2,5,9,0,0,26,13,0,0,2
732,18050,2018-05-03,01,02,04,10,18,19,07,04,02,01,10,18,19,"969,426,906",7,"7,360,984",146,"141,497","332,612,986",54,9.00,24,2,4,-2,0,3,2,4,-2,6,6,2,2,18,8,2,3,4
733,18049,2018-05-01,01,03,04,11,19,23,02,19,03,01,11,04,23,"958,977,957",7,"7,858,532",88,"284,229","308,606,382",61,10.17,21,5,1,4,3,0,2,4,-2,4,9,1,1,22,8,1,1,2
734,18048,2018-04-29,01,12,20,25,30,31,02,31,25,20,12,30,01,"938,951,220",4,"9,801,124",76,"315,863","347,082,070",119,19.83,9,3,3,0,0,1,4,2,2,4,7,1,1,30,11,0,2,0
735,18047,2018-04-26,06,07,12,16,22,25,07,07,25,12,06,22,16,"906,138,855",9,"6,936,514",102,"213,586","340,211,348",88,14.67,28,2,4,-2,0,2,2,4,-2,4,7,1,1,19,6,0,0,1
736,18046,2018-04-24,10,13,14,18,20,31,03,10,18,14,20,13,31,"903,210,136",2,"10,000,000",100,"256,483","341,414,200",106,17.67,16,2,4,-2,0,2,3,3,0,5,9,1,1,21,11,0,0,1
737,18045,2018-04-22,03,04,06,25,26,30,01,04,30,06,25,03,26,"846,265,053",3,"6,904,812",82,"87,110","381,384,846",94,15.67,24,2,4,-2,0,2,3,3,0,5,8,2,2,27,19,1,1,3
738,18044,2018-04-19,05,09,12,17,27,30,06,09,30,27,17,12,05,"845,550,354",22,"5,550,276",643,"23,534","351,490,126",100,16.67,30,4,2,2,2,0,3,3,0,5,8,0,0,25,10,0,0,2
739,18043,2018-04-17,01,04,06,08,21,24,07,21,04,06,08,01,24,"922,258,638",6,"7,386,066",93,"192,424","350,595,736",64,10.67,24,2,4,-2,0,2,2,4,-2,4,7,0,0,23,13,0,2,0
740,18042,2018-04-15,06,10,21,28,29,31,12,31,21,28,06,29,10,"912,888,550",14,"6,113,405",163,"119,537","373,384,922",125,20.83,25,3,3,0,1,1,4,2,2,5,10,1,1,25,11,0,0,3
741,18041,2018-04-12,07,08,20,23,24,32,13,23,08,07,24,20,32,"940,022,436",4,"9,960,334",64,"387,526","342,614,774",114,19.00,24,2,4,-2,0,2,4,2,2,6,7,2,2,25,12,0,2,2
742,18040,2018-04-10,01,03,08,13,18,23,16,18,03,08,23,01,13,"905,458,752",11,"6,625,737",283,"78,989","341,719,534",66,11.00,26,4,2,2,1,0,2,4,-2,3,4,0,0,22,5,0,3,2
743,18039,2018-04-08,08,12,18,19,23,32,03,32,12,19,08,18,23,"911,280,204",6,"8,202,095",168,"142,950","368,394,896",112,18.67,32,2,4,-2,1,2,4,2,2,4,8,1,1,24,9,0,1,1
744,18038,2018-04-05,15,23,24,25,28,29,09,23,24,29,15,28,25,"888,445,635",5,"7,607,731",75,"217,310","303,245,456",144,24.00,34,4,2,2,1,0,5,1,4,5,6,3,2,14,8,0,0,2
745,18037,2018-04-03,01,06,07,08,27,30,10,30,08,01,07,06,27,"877,589,328",12,"6,218,823",137,"133,447","336,334,062",79,13.17,29,3,3,0,0,0,2,4,-2,5,9,2,1,29,19,0,1,2
746,18036,2018-04-01,08,17,24,26,28,33,04,24,28,08,26,33,17,"897,368,156",4,"10,000,000",117,"231,790","375,931,002",136,22.67,36,2,4,-2,0,2,5,1,4,5,5,0,0,25,9,0,2,2
747,18035,2018-03-29,07,10,11,17,23,28,15,10,07,23,17,11,28,"856,009,608",6,"8,809,507",289,"98,862","350,309,396",96,16.00,26,4,2,2,2,0,3,3,0,5,9,1,1,21,6,2,2,2
748,18034,2018-03-27,01,05,11,22,23,26,15,23,05,22,11,26,01,"823,152,736",8,"7,560,160",122,"209,849","348,544,506",88,14.67,18,4,2,2,2,0,3,3,0,5,8,1,1,25,11,1,1,2
749,18033,2018-03-25,04,19,20,22,28,33,06,33,20,04,19,28,22,"806,829,198",3,"10,000,000",88,"289,516","376,360,408",126,21.00,26,2,4,-2,0,2,5,1,4,6,10,1,1,29,15,0,1,3
750,18032,2018-03-22,21,22,23,24,25,32,06,25,22,23,21,32,24,"760,396,749",3,"10,000,000",127,"179,511","351,194,914",147,24.50,17,3,3,0,0,0,6,0,6,5,4,4,1,11,7,0,0,0
751,18031,2018-03-20,02,16,18,19,27,30,14,19,16,30,27,18,02,"722,002,755",3,"10,000,000",116,"224,837","345,048,756",112,18.67,32,2,4,-2,1,2,4,2,2,6,7,1,1,28,14,0,0,1
752,18030,2018-03-18,13,14,20,21,25,33,07,13,14,20,33,25,21,"673,759,355",1,"10,000,000",98,"260,810","388,492,136",126,21.00,16,4,2,2,2,1,4,2,2,5,6,2,2,20,8,0,2,2
753,18029,2018-03-15,01,02,09,14,22,25,05,02,22,09,14,25,01,"607,081,200",5,"8,926,329",85,"288,700","349,939,456",73,12.17,23,3,3,0,0,1,2,4,-2,5,8,1,1,24,8,1,1,3
754,18028,2018-03-13,03,08,11,14,18,23,16,08,03,18,11,14,23,"578,094,167",7,"7,676,997",220,"106,471","352,015,830",77,12.83,27,3,3,0,0,1,2,4,-2,4,7,0,0,20,5,2,2,2
755,18027,2018-03-11,02,07,09,14,18,28,05,28,07,14,09,18,02,"561,561,972",6,"8,250,400",144,"169,291","386,579,026",78,13.00,38,2,4,-2,1,2,2,4,-2,5,8,0,0,26,10,2,2,0
756,18026,2018-03-08,04,07,12,14,26,32,04,04,07,26,12,14,32,"537,930,372",6,"8,313,468",75,"331,346","341,958,742",95,15.83,25,1,5,-4,0,3,2,4,-2,4,10,0,0,28,12,1,1,3
757,18025,2018-03-06,04,13,16,19,21,25,14,25,13,04,21,16,19,"513,258,146",1,"10,000,000",83,"350,024","341,614,936",98,16.33,28,4,2,2,2,0,3,3,0,6,6,0,0,21,9,0,1,2
758,18024,2018-03-04,11,19,22,26,31,32,02,32,11,26,19,31,22,"436,102,047",9,"7,481,039",81,"344,588","373,443,496",141,23.50,21,3,3,0,1,1,5,1,4,4,10,1,1,21,8,0,1,2
759,18023,2018-03-01,12,15,16,21,26,29,16,16,29,26,12,15,21,"419,696,331",3,"10,000,000",159,"164,899","339,395,846",119,19.83,29,3,3,0,0,0,3,3,0,5,7,1,1,17,5,1,1,2
760,18022,2018-02-27,07,14,19,21,22,23,03,14,22,19,21,07,23,"371,039,376",6,"8,201,615",111,"216,325","333,617,132",106,17.67,26,4,2,2,1,0,4,2,2,6,7,2,1,16,7,0,1,2
761,18021,2018-02-25,03,04,06,11,23,28,14,04,11,28,06,23,03,"348,212,718",3,"10,000,000",216,"116,432","364,661,036",75,12.50,25,3,3,0,1,1,2,4,-2,5,8,1,1,25,12,0,2,1
762,18020,2018-02-22,06,09,10,14,28,30,05,10,30,14,06,09,28,"302,764,704",33,"5,489,962",212,"95,334","322,991,340",97,16.17,27,1,5,-4,0,3,2,4,-2,5,9,1,1,24,14,0,0,1
763,18019,2018-02-13,03,11,12,16,21,23,09,21,16,23,11,03,12,"423,300,648",8,"6,663,708",80,"207,963","353,382,992",86,14.33,16,4,2,2,2,1,2,4,-2,4,8,1,1,20,8,0,1,3
764,18018,2018-02-11,02,12,13,18,25,27,07,27,02,25,13,18,12,"426,699,072",12,"6,383,135",214,"96,948","364,855,490",97,16.17,27,3,3,0,1,1,3,3,0,5,10,1,1,25,10,0,0,4
765,18017,2018-02-08,03,06,11,26,30,32,12,06,30,03,11,26,32,"441,055,600",5,"8,695,830",68,"339,690","341,808,336",108,18.00,18,2,4,-2,0,2,3,3,0,5,10,0,0,29,15,0,1,2
766,18016,2018-02-06,01,11,12,18,25,27,16,27,11,25,12,18,01,"415,237,924",4,"9,593,701",98,"234,372","338,462,386",94,15.67,24,4,2,2,2,1,3,3,0,5,9,1,1,26,10,0,1,3
767,18015,2018-02-04,11,15,20,21,26,33,15,11,26,21,15,20,33,"384,707,208",6,"7,652,271",172,"115,651","372,995,620",126,21.00,16,4,2,2,1,0,4,2,2,5,8,1,1,22,7,1,1,2
768,18014,2018-02-01,09,12,20,24,28,31,07,09,20,31,28,12,24,"370,944,726",17,"5,970,693",103,"200,264","341,965,074",124,20.67,24,2,4,-2,0,3,4,2,2,6,5,0,0,22,8,0,0,2
769,18013,2018-01-30,06,08,13,15,22,33,06,08,13,33,15,22,06,"410,564,826",9,"7,002,470",99,"227,553","338,322,260",97,16.17,27,3,3,0,1,1,2,4,-2,5,6,0,0,27,11,1,1,1
770,18012,2018-01-28,11,12,13,19,26,28,12,12,19,26,11,28,13,"406,003,688",8,"7,195,022",129,"170,156","367,108,128",109,18.17,29,3,3,0,1,1,3,3,0,6,6,2,1,17,7,0,0,3
771,18011,2018-01-25,03,10,21,23,27,33,11,27,10,03,21,23,33,"397,713,208",8,"7,356,371",138,"170,751","336,871,794",117,19.50,17,5,1,4,3,0,4,2,2,4,9,0,0,30,11,0,1,2
772,18010,2018-01-23,01,08,17,20,21,22,03,21,22,08,17,01,20,"385,873,044",6,"8,085,375",71,"325,919","351,327,690",89,14.83,19,3,3,0,0,0,4,2,2,5,9,2,1,21,9,1,1,1
773,18009,2018-01-21,05,10,17,23,26,32,07,10,17,26,23,05,32,"364,964,347",17,"5,477,449",221,"45,908","384,256,808",113,18.83,23,3,3,0,1,1,4,2,2,6,8,0,0,27,7,1,3,1
774,18008,2018-01-18,05,09,10,12,17,19,13,05,09,17,12,10,19,"427,643,568",11,"6,571,365",144,"150,043","359,785,672",72,12.00,32,4,2,2,2,1,2,4,-2,5,6,1,1,14,5,0,0,2
775,18007,2018-01-16,13,14,20,25,27,31,12,31,20,13,25,27,14,"435,109,760",8,"7,274,011",132,"172,273","354,279,554",130,21.67,20,4,2,2,2,1,4,2,2,6,7,1,1,18,6,0,0,0
776,18006,2018-01-14,02,07,08,09,17,29,11,09,29,17,07,08,02,"425,081,503",11,"6,856,113",172,"148,381","387,617,618",72,12.00,42,4,2,2,2,0,2,4,-2,4,9,2,1,27,12,1,1,1
777,18005,2018-01-11,02,20,21,28,31,33,06,31,20,21,02,33,28,"423,934,061",1,"10,000,000",68,"371,062","354,961,030",135,22.50,15,3,3,0,1,1,5,1,4,5,10,1,1,31,18,0,1,2
778,18004,2018-01-09,14,18,19,26,30,31,11,31,18,30,26,14,19,"358,237,373",13,"6,082,556",55,"319,846","349,304,820",138,23.00,28,2,4,-2,0,2,5,1,4,6,5,2,2,17,7,1,2,3
779,18003,2018-01-07,01,14,16,17,20,31,04,16,31,20,01,14,17,"384,536,000",5,"10,000,000",167,"191,008","388,121,442",99,16.50,19,3,3,0,0,1,3,3,0,5,8,1,1,30,13,0,1,1
780,18002,2018-01-04,07,18,24,29,31,33,16,07,33,18,24,31,29,"338,840,952",3,"10,000,000",94,"319,928","351,610,618",142,23.67,32,4,2,2,2,1,5,1,4,6,8,0,0,26,11,0,1,2
781,18001,2018-01-02,01,08,11,26,28,31,04,28,11,26,01,31,08,"278,621,134",22,"5,825,255",191,"118,819","367,348,082",105,17.50,25,3,3,0,0,1,3,3,0,3,8,0,0,30,15,0,1,1
782,17154,2017-12-31,05,09,13,15,18,26,05,15,05,18,13,26,09,"338,693,168",11,"7,280,114",141,"222,351","414,241,024",86,14.33,36,4,2,2,3,1,2,4,-2,5,7,0,0,21,8,1,2,2
783,17153,2017-12-28,07,11,12,13,18,19,16,13,11,07,18,19,12,"324,719,716",4,"10,000,000",165,"190,901","372,349,292",80,13.33,30,4,2,2,1,0,2,4,-2,6,4,3,2,12,5,0,0,2
784,17152,2017-12-26,06,10,23,25,26,29,05,29,26,23,10,06,25,"270,223,240",8,"7,027,612",129,"157,179","367,326,916",119,19.83,29,3,3,0,1,1,4,2,2,5,7,1,1,23,13,0,0,3
785,17151,2017-12-24,02,05,07,09,11,27,16,09,07,27,02,11,05,"265,615,770",6,"8,891,264",171,"170,669","410,102,286",61,10.17,31,5,1,4,4,0,1,5,-4,5,7,0,0,25,16,0,0,2
786,17150,2017-12-21,06,14,19,20,21,23,08,20,23,19,14,21,06,"231,409,917",9,"6,900,101",82,"260,684","382,821,120",103,17.17,23,3,3,0,1,1,4,2,2,6,8,2,1,17,8,1,1,4
787,17149,2017-12-19,05,08,15,20,27,30,13,30,20,05,08,27,15,"229,382,406",67,"5,031,231",1126,"6,000","389,703,152",105,17.50,25,3,3,0,0,0,3,3,0,4,4,0,0,25,7,0,0,4
788,17148,2017-12-17,04,07,11,14,29,32,12,07,32,11,14,04,29,"558,628,074",18,"6,272,562",274,"104,498","419,003,890",97,16.17,27,3,3,0,1,0,2,4,-2,5,5,0,0,28,15,1,1,2
789,17147,2017-12-14,03,07,20,21,25,31,14,25,31,07,20,03,21,"585,636,222",3,"10,000,000",131,"255,096","397,012,632",107,17.83,17,5,1,4,3,0,4,2,2,5,8,1,1,28,13,0,1,2
790,17146,2017-12-12,01,19,25,26,27,33,10,01,25,27,26,33,19,"515,383,281",21,"5,802,209",252,"83,563","409,358,700",131,21.83,31,5,1,4,3,0,5,1,4,6,6,2,1,32,18,0,1,3
791,17145,2017-12-10,02,06,12,17,25,28,12,17,12,28,06,25,02,"574,055,706",31,"5,380,151",458,"32,163","434,698,744",90,15.00,30,2,4,-2,1,2,3,3,0,5,9,0,0,26,8,0,0,2
792,17144,2017-12-07,03,14,16,20,31,32,09,16,14,32,03,20,31,"696,647,832",8,"6,316,343",54,"243,767","394,649,686",116,19.33,16,2,4,-2,0,2,3,3,0,6,8,1,1,29,11,0,2,1
793,17143,2017-12-05,04,06,09,14,20,29,14,14,06,29,20,04,09,"707,688,280",13,"6,687,672",164,"167,223","383,967,718",82,13.67,32,2,4,-2,0,2,2,4,-2,4,9,0,0,25,9,0,1,2
794,17142,2017-12-03,08,13,14,18,23,33,06,23,13,14,18,08,33,"712,354,014",6,"7,643,652",149,"133,069","417,715,258",109,18.17,29,3,3,0,1,1,3,3,0,3,5,1,1,25,10,0,1,2
795,17141,2017-11-30,01,06,07,11,13,15,05,07,06,11,13,01,15,"698,733,752",4,"7,854,635",78,"182,989","374,075,240",53,8.83,23,5,1,4,3,0,0,6,-6,5,6,1,1,14,5,0,0,0
796,17140,2017-11-28,21,22,25,28,29,30,08,28,21,22,25,29,30,"687,332,768",16,"6,035,870",83,"249,607","376,479,116",155,25.83,25,3,3,0,0,0,6,0,6,6,4,3,2,9,3,0,1,3
797,17139,2017-11-26,02,14,20,24,28,32,16,28,14,24,02,20,32,"721,754,472",6,"9,828,398",92,"393,619","409,744,564",120,20.00,20,0,6,-6,0,5,4,2,2,4,5,0,0,30,12,0,3,2
798,17138,2017-11-23,01,17,24,28,32,33,02,28,01,24,17,32,33,"672,085,896",6,"9,039,634",79,"383,509","377,937,674",135,22.50,25,3,3,0,1,2,5,1,4,6,8,1,1,32,16,0,0,2
799,17137,2017-11-21,05,10,20,23,26,31,03,26,10,23,31,05,20,"635,431,923",7,"7,917,073",146,"174,824","376,184,186",115,19.17,15,3,3,0,0,1,4,2,2,5,7,0,0,26,10,0,1,2
800,17136,2017-11-19,03,07,10,18,21,24,12,03,10,18,07,24,21,"614,278,265",19,"5,952,821",216,"104,766","401,556,928",83,13.83,23,3,3,0,1,1,3,3,0,6,6,0,0,21,8,0,2,1
801,17135,2017-11-16,01,06,07,14,18,26,16,07,14,18,06,01,26,"659,493,336",8,"7,923,669",147,"198,889","378,825,098",72,12.00,32,2,4,-2,0,2,2,4,-2,5,8,1,1,25,8,1,1,1
802,17134,2017-11-14,04,05,11,14,28,32,04,28,05,04,11,14,32,"635,172,616",13,"6,040,990",99,"170,869","365,781,644",94,15.67,24,2,4,-2,1,2,2,4,-2,5,10,1,1,28,14,0,0,2
803,17133,2017-11-12,06,15,17,18,23,30,11,30,23,18,15,17,06,"662,957,197",7,"8,327,342",223,"130,557","400,247,724",109,18.17,29,3,3,0,1,0,4,2,2,6,9,1,1,24,9,0,0,1
804,17132,2017-11-09,02,03,05,09,13,28,11,09,13,05,02,03,28,"633,905,850",6,"8,820,665",139,"206,151","377,852,842",60,10.00,30,4,2,2,3,0,1,5,-4,5,9,1,1,26,15,0,0,3
805,17131,2017-11-07,01,07,10,11,26,27,11,07,27,10,01,11,26,"600,864,875",25,"5,513,378",131,"122,466","367,788,616",82,13.67,22,4,2,2,1,0,2,4,-2,4,8,2,2,26,15,0,0,1
806,17130,2017-11-05,05,13,14,23,25,31,02,31,13,05,23,25,14,"690,570,120",5,"10,000,000",211,"161,007","401,382,016",111,18.50,21,5,1,4,3,0,3,3,0,4,7,1,1,26,9,1,2,2
807,17129,2017-11-02,05,06,09,14,21,33,02,14,33,09,21,06,05,"638,652,615",3,"10,000,000",116,"229,558","334,351,058",88,14.67,28,4,2,2,1,0,2,4,-2,6,9,1,1,28,12,1,1,3
808,17128,2017-10-31,02,06,13,22,29,31,08,22,29,02,31,13,06,"588,766,113",13,"5,186,374",111,"27,284","323,872,230",103,17.17,23,3,3,0,1,1,3,3,0,5,7,0,0,29,9,0,0,3
809,17127,2017-10-29,14,15,21,24,27,32,12,21,24,14,27,32,15,"647,103,220",4,"9,376,343",63,"347,328","351,381,232",133,22.17,23,3,3,0,1,0,4,2,2,5,8,1,1,18,6,1,2,1
810,17126,2017-10-26,01,16,17,21,27,30,16,21,01,27,30,16,17,"618,963,440",8,"7,757,297",63,"437,666","328,800,104",112,18.67,22,4,2,2,2,0,4,2,2,4,10,1,1,29,15,2,2,1
811,17125,2017-10-24,01,14,23,25,29,30,03,25,23,14,01,29,30,"598,302,894",6,"7,793,201",133,"157,511","324,821,104",122,20.33,22,4,2,2,2,0,4,2,2,6,10,1,1,29,13,0,1,4
812,17124,2017-10-22,02,06,11,26,28,29,03,28,26,02,06,29,11,"582,215,080",8,"6,981,077",126,"157,228","352,610,564",102,17.00,32,2,4,-2,0,2,3,3,0,5,10,1,1,27,15,0,2,1
813,17123,2017-10-19,04,05,06,11,21,31,10,06,31,04,21,11,05,"578,631,376",16,"5,768,364",237,"64,840","327,467,830",78,13.00,18,4,2,2,2,0,2,4,-2,4,8,2,1,27,10,0,2,1
814,17122,2017-10-17,11,20,21,22,24,27,15,22,21,27,24,20,11,"624,823,324",4,"9,322,578",52,"415,632","323,216,212",125,20.83,15,3,3,0,0,1,5,1,4,5,7,2,1,16,9,3,3,2
815,17121,2017-10-15,11,18,19,22,24,32,07,32,19,22,18,24,11,"597,274,960",5,"7,294,152",136,"105,429","344,520,506",126,21.00,26,2,4,-2,0,2,5,1,4,5,8,1,1,21,8,0,1,4
816,17120,2017-10-12,08,10,15,19,23,28,16,10,19,08,23,28,15,"590,730,365",5,"9,211,061",192,"137,078","319,254,526",103,17.17,33,3,3,0,2,1,3,3,0,5,6,0,0,20,5,0,0,3
817,17119,2017-10-10,09,16,21,25,26,31,14,31,09,25,26,21,16,"557,828,271",11,"6,673,237",127,"181,157","311,293,858",128,21.33,28,4,2,2,1,0,4,2,2,4,7,1,1,22,7,0,1,4
818,17118,2017-10-08,08,09,15,22,30,33,16,22,33,09,30,15,08,"562,212,840",12,"6,730,422",123,"211,027","339,910,326",117,19.50,27,3,3,0,1,1,3,3,0,6,9,1,1,25,8,0,1,3
819,17117,2017-10-05,01,02,08,11,14,21,09,11,08,02,01,14,21,"565,108,899",3,"8,633,236",53,"257,068","277,103,412",57,9.50,17,3,3,0,0,1,1,5,-4,4,5,1,1,20,7,0,2,2
820,17116,2017-10-03,02,14,20,22,30,32,02,14,30,22,32,02,20,"550,134,702",9,"6,537,998",85,"203,558","270,066,216",120,20.00,10,0,6,-6,0,5,4,2,2,3,5,0,0,30,12,1,1,2
821,17115,2017-10-01,04,10,11,25,30,31,01,11,04,31,25,10,30,"557,069,238",6,"8,233,631",128,"189,470","322,048,056",111,18.50,11,3,3,0,1,1,3,3,0,4,6,2,2,27,14,0,0,2
822,17114,2017-09-28,06,12,13,15,18,26,13,06,12,15,13,18,26,"533,714,324",4,"9,187,872",89,"235,273","321,554,260",90,15.00,30,2,4,-2,1,2,2,4,-2,5,8,1,1,20,8,0,1,2
823,17113,2017-09-26,04,06,16,27,29,33,05,29,06,04,33,16,27,"507,647,724",4,"8,403,060",75,"226,870","316,223,542",115,19.17,35,3,3,0,2,2,3,3,0,5,8,0,0,29,11,0,1,1
824,17112,2017-09-24,03,10,14,16,22,23,11,23,16,22,10,03,14,"490,214,060",2,"10,000,000",76,"292,461","346,255,520",88,14.67,18,2,4,-2,0,3,2,4,-2,5,7,1,1,20,7,1,1,1
825,17111,2017-09-21,05,10,17,19,29,32,12,19,10,05,32,17,29,"443,532,928",16,"5,921,674",99,"186,196","317,976,914",112,18.67,32,4,2,2,2,0,4,2,2,5,9,0,0,27,10,0,1,0
826,17110,2017-09-19,01,03,12,15,19,23,14,12,19,15,23,01,03,"482,979,264",3,"10,000,000",68,"377,100","316,936,062",73,12.17,23,5,1,4,3,0,2,4,-2,5,8,0,0,22,9,1,1,2
